id,name,mage,quantity,price,warehouse_id,description,color,length,width,height,weight,material,origin,created_at,published_at,updated_at,is_active
1,Sony WH-1000XM4 Headphones,https://placekitten.com/795/433,785,870.72,67,A smart video doorbell that lets you see and talk to visitors from anywhere via your smartphone.,Black,66.83,74.2,3.1,7.6,Plastic,Spain,2024/8/4,2024/8/12,2024/10/2,TRUE
2,Canon EOS Rebel T7 DSLR,https://placeimg.com/670/863/any,578,984.53,85,"A premium coffee machine that brews both coffee and espresso with one button, delivering café-style beverages at home.",White,37.33,92.66,40.85,8.44,Wood,Kenya,2024/6/28,2024/9/1,2024/9/13,TRUE
3,Bose SoundLink Bluetooth Speaker,https://placeimg.com/121/788/any,94,639.9,84,A powerful cordless vacuum that captures deep-down dirt and pet hair with ease. Ideal for homes with pets.,Red,81.2,24.63,55.18,9.99,Wood,Nauru,2024/6/6,2024/4/26,2024/3/29,FALSE
4,Instant Pot Duo,https://placeimg.com/778/268/any,397,262.02,28,"High-quality wireless earbuds with active noise cancellation and superior sound quality, perfect for daily commuting.",White,28.17,13.39,82.81,8.57,Wood,Bermuda,2024/8/5,2024/8/10,2024/2/21,TRUE
5,Fitbit Versa 3,https://placeimg.com/717/439/any,852,43.51,42,"A portable Bluetooth speaker that delivers crisp sound quality with deep bass, ideal for outdoor gatherings and parties.",Black,85.2,88.38,26.07,2.37,Textile,Cambodia,2024/5/2,2024/1/22,2024/4/9,FALSE
6,Tile Mate Key Finder,https://placekitten.com/531/360,648,849.41,30,"A stunning 4K television with vivid colors and high dynamic range (HDR), offering a great viewing experience.",Blue,93.59,90.86,35.24,7.19,Wood,Bahrain,2024/1/3,2024/4/7,2024/3/29,FALSE
7,KitchenAid Stand Mixer,https://www.lorempixel.com/603/814,678,641.2,57,"A high-performance smartphone with a 120Hz display and a powerful camera, great for photography enthusiasts.",Yellow,98.75,82.41,5.49,8.75,Textile,Azerbaijan,2024/1/21,2024/4/11,2024/4/8,TRUE
8,Canon EOS Rebel T7 DSLR,https://placeimg.com/555/51/any,604,533.14,38,"A portable Bluetooth speaker that delivers crisp sound quality with deep bass, ideal for outdoor gatherings and parties.",Black,74.99,95.82,58.3,9.84,Textile,Peru,2024/1/27,2024/10/9,2024/2/25,FALSE
9,Anova Precision Cooker,https://placekitten.com/788/229,172,402.58,84,"A versatile countertop oven that does everything from toasting to air frying, making it a must-have in any kitchen.",Yellow,40.97,66.17,34.91,0.58,Metal,Afghanistan,2024/4/12,2024/8/2,2024/8/12,FALSE
10,Instant Pot Duo,https://placeimg.com/163/871/any,290,166.38,4,"A high-performance smartphone with a 120Hz display and a powerful camera, great for photography enthusiasts.",Black,44.52,27.39,15.85,8.81,Glass,Nepal,2024/2/29,2024/3/10,2024/2/2,TRUE
11,KitchenAid Stand Mixer,https://placekitten.com/874/718,406,351.38,29,"A user-friendly DSLR camera ideal for beginners, with a range of features to help you capture stunning photos and videos.",Yellow,48.83,19.94,37.72,2.17,Glass,United States Minor Outlying Islands,2024/2/17,2024/3/31,2024/8/10,FALSE
12,Nespresso Vertuo Coffee Machine,https://placekitten.com/940/608,55,223.33,70,"High-quality wireless earbuds with active noise cancellation and superior sound quality, perfect for daily commuting.",Black,37.82,29.88,73.17,7.99,Textile,Anguilla,2024/5/31,2024/8/17,2024/4/15,TRUE
13,Sony WH-1000XM4 Headphones,https://placekitten.com/249/998,942,473.59,67,A versatile pressure cooker that lets you cook meals up to 70% faster than traditional methods. Great for busy families.,Red,96.63,27.82,87.75,5.83,Wood,Indonesia,2024/2/19,2024/9/4,2024/1/18,FALSE
