product_id,reviewer_id,comment,comment_time,rating
31,39,"The product is well-designed, but the instructions could have been a bit clearer. Overall, very happy with it.",2024/8/1,2
72,27,I’ve recommended this to all my friends and family. It’s that good!,2024/8/12,4.4
87,41,Not sure why I didn’t buy this sooner. It's worth every penny and more!,2024/8/13,1.5
6,38,"It’s a decent product, but I think there are better options out there in this price range.",2024/4/27,2.2
81,55,I was blown away by the customer service and the product’s performance. They have a customer for life!,2024/1/25,1.2
29,67,I was blown away by the customer service and the product’s performance. They have a customer for life!,2024/9/4,1.8
17,23,"It’s great for everyday use, and the battery life is amazing. Couldn’t ask for a better experience.",2024/7/19,2.1
18,58,"The build quality is exceptional, and the ease of use makes it a must-have in any home.",2024/10/8,1.8
30,18,"The product works fine, but there are minor issues that should be addressed in future versions.",2024/8/11,3.2
64,61,"I use this product daily, and it has never let me down. A great investment!",2024/7/29,1.5
4,67,"It gets the job done, but it's not without its flaws. For the price, it’s a solid option.",2024/1/30,1.4
89,45,"The packaging was great, and it arrived quickly. No complaints!",2024/7/15,3.6
31,25,"The build quality is exceptional, and the ease of use makes it a must-have in any home.",2024/5/30,1.3
37,48,"The product is well-designed, but the instructions could have been a bit clearer. Overall, very happy with it.",2024/1/14,2.1
30,11,I was blown away by the customer service and the product’s performance. They have a customer for life!,2024/6/23,1.5
27,48,"The product works fine, but there are minor issues that should be addressed in future versions.",2024/8/6,4.6
58,38,Not sure why I didn’t buy this sooner. It's worth every penny and more!,2024/8/2,4
95,28,I love the sleek design and the fact that it works as advertised. Would highly recommend it!,2024/1/12,1.7
39,41,"It’s great for everyday use, and the battery life is amazing. Couldn’t ask for a better experience.",2024/7/9,4.5
6,7,Not sure why I didn’t buy this sooner. It's worth every penny and more!,2024/1/20,1.2
67,65,"The build quality is exceptional, and the ease of use makes it a must-have in any home.",2024/1/13,1.7
50,56,This product has really simplified my life! I use it daily and couldn’t be happier with its performance.,2024/2/27,2.9
65,15,"It gets the job done, but it's not without its flaws. For the price, it’s a solid option.",2024/10/8,2.7
20,73,"I was a bit skeptical at first, but after using it for a month, I can say it exceeded my expectations.",2024/2/17,4.4
71,41,"The product is well-designed, but the instructions could have been a bit clearer. Overall, very happy with it.",2024/1/11,1.4
61,50,I was blown away by the customer service and the product’s performance. They have a customer for life!,2024/4/10,3.1
6,99,"It’s great for everyday use, and the battery life is amazing. Couldn’t ask for a better experience.",2024/3/16,4.3
94,21,This product has really simplified my life! I use it daily and couldn’t be happier with its performance.,2024/4/14,4.9
28,15,"I was a bit skeptical at first, but after using it for a month, I can say it exceeded my expectations.",2024/4/22,3.3
70,10,"It gets the job done, but it's not without its flaws. For the price, it’s a solid option.",2024/5/11,1.1
74,56,I’ve recommended this to all my friends and family. It’s that good!,2024/3/23,4.7
34,74,"It gets the job done, but it's not without its flaws. For the price, it’s a solid option.",2024/9/18,4.5
72,74,"I use this product daily, and it has never let me down. A great investment!",2024/3/9,3
58,71,"It’s a decent product, but I think there are better options out there in this price range.",2024/7/28,4.1
46,28,"The packaging was great, and it arrived quickly. No complaints!",2024/6/8,2.6
30,31,"The build quality is exceptional, and the ease of use makes it a must-have in any home.",2024/4/15,4.2
71,75,This product has really simplified my life! I use it daily and couldn’t be happier with its performance.,2024/1/1,1.9
16,45,"The build quality is exceptional, and the ease of use makes it a must-have in any home.",2024/6/2,1.4
48,9,"I was a bit skeptical at first, but after using it for a month, I can say it exceeded my expectations.",2024/3/22,1.4
72,33,"I use this product daily, and it has never let me down. A great investment!",2024/3/10,1.3
1,65,I’ve recommended this to all my friends and family. It’s that good!,2024/8/4,2
80,52,"It’s great for everyday use, and the battery life is amazing. Couldn’t ask for a better experience.",2024/6/23,2.6
71,42,I was blown away by the customer service and the product’s performance. They have a customer for life!,2024/9/21,2.6
89,80,"It gets the job done, but it's not without its flaws. For the price, it’s a solid option.",2024/1/20,2.7
69,74,I love the sleek design and the fact that it works as advertised. Would highly recommend it!,2024/8/12,4.5
77,77,I was blown away by the customer service and the product’s performance. They have a customer for life!,2024/8/17,4.3
38,24,"The product works fine, but there are minor issues that should be addressed in future versions.",2024/7/30,1.9
76,73,I’ve recommended this to all my friends and family. It’s that good!,2024/1/24,1.1
6,79,"I use this product daily, and it has never let me down. A great investment!",2024/4/28,2.8
20,36,"I use this product daily, and it has never let me down. A great investment!",2024/2/4,2.9
16,69,"I was a bit skeptical at first, but after using it for a month, I can say it exceeded my expectations.",2024/1/30,2
44,47,"The packaging was great, and it arrived quickly. No complaints!",2024/6/5,5
61,78,"I was a bit skeptical at first, but after using it for a month, I can say it exceeded my expectations.",2024/10/8,4.6
66,62,"It gets the job done, but it's not without its flaws. For the price, it’s a solid option.",2024/8/10,2.6
39,31,I was blown away by the customer service and the product’s performance. They have a customer for life!,2024/6/20,3.6
17,32,"It gets the job done, but it's not without its flaws. For the price, it’s a solid option.",2024/2/2,3.1
60,100,I’ve recommended this to all my friends and family. It’s that good!,2024/9/27,4.5
34,12,"The packaging was great, and it arrived quickly. No complaints!",2024/5/13,3.4
25,26,Not sure why I didn’t buy this sooner. It's worth every penny and more!,2024/7/29,1.9
30,70,"The product didn’t meet my expectations, but the return process was smooth and hassle-free.",2024/10/5,1.5
23,33,This product has really simplified my life! I use it daily and couldn’t be happier with its performance.,2024/6/30,3.3
11,63,"The product is well-designed, but the instructions could have been a bit clearer. Overall, very happy with it.",2024/9/13,2.4
54,91,Not sure why I didn’t buy this sooner. It's worth every penny and more!,2024/9/15,2
75,92,"I use this product daily, and it has never let me down. A great investment!",2024/4/5,2.9
44,88,"I was a bit skeptical at first, but after using it for a month, I can say it exceeded my expectations.",2024/2/1,4
98,51,"The product is well-designed, but the instructions could have been a bit clearer. Overall, very happy with it.",2024/5/21,3.6
24,71,"The product didn’t meet my expectations, but the return process was smooth and hassle-free.",2024/1/20,2.4
18,19,This product has really simplified my life! I use it daily and couldn’t be happier with its performance.,2024/2/23,2.3
10,37,I love the sleek design and the fact that it works as advertised. Would highly recommend it!,2024/6/15,3.2
53,20,"The packaging was great, and it arrived quickly. No complaints!",2024/3/9,1.4
44,65,I’ve recommended this to all my friends and family. It’s that good!,2024/4/20,1.7
74,5,Not sure why I didn’t buy this sooner. It's worth every penny and more!,2024/3/24,5
42,63,I love the sleek design and the fact that it works as advertised. Would highly recommend it!,2024/2/8,3.1
34,14,"It’s a decent product, but I think there are better options out there in this price range.",2024/7/30,2.6
30,27,"I was a bit skeptical at first, but after using it for a month, I can say it exceeded my expectations.",2024/5/15,4.3
62,46,I love the sleek design and the fact that it works as advertised. Would highly recommend it!,2024/2/10,1.6
18,66,I love the sleek design and the fact that it works as advertised. Would highly recommend it!,2024/3/8,2.5
75,49,"The product works fine, but there are minor issues that should be addressed in future versions.",2024/7/8,3.3
21,91,"I use this product daily, and it has never let me down. A great investment!",2024/9/27,3.8
16,84,I’ve recommended this to all my friends and family. It’s that good!,2024/6/21,4
64,1,"The build quality is exceptional, and the ease of use makes it a must-have in any home.",2024/4/19,4.2
87,72,"The build quality is exceptional, and the ease of use makes it a must-have in any home.",2024/5/20,4.7
5,84,Not sure why I didn’t buy this sooner. It's worth every penny and more!,2024/6/11,1.2
86,23,"It’s great for everyday use, and the battery life is amazing. Couldn’t ask for a better experience.",2024/1/2,2.5
89,8,"It’s a decent product, but I think there are better options out there in this price range.",2024/7/6,3.4
45,78,"I was a bit skeptical at first, but after using it for a month, I can say it exceeded my expectations.",2024/10/6,1.1
100,72,I was blown away by the customer service and the product’s performance. They have a customer for life!,2024/7/24,4.8
42,68,I love the sleek design and the fact that it works as advertised. Would highly recommend it!,2024/3/27,2.8
62,15,"The product works fine, but there are minor issues that should be addressed in future versions.",2024/3/3,3
35,87,I love the sleek design and the fact that it works as advertised. Would highly recommend it!,2024/9/7,1.8
44,6,I was blown away by the customer service and the product’s performance. They have a customer for life!,2024/5/25,3.8
46,69,"It gets the job done, but it's not without its flaws. For the price, it’s a solid option.",2024/6/13,4.8
38,1,This product has really simplified my life! I use it daily and couldn’t be happier with its performance.,2024/7/5,2.4
40,7,"It’s great for everyday use, and the battery life is amazing. Couldn’t ask for a better experience.",2024/1/16,1.2
16,82,"The packaging was great, and it arrived quickly. No complaints!",2024/2/28,3.2
17,95,"The product works fine, but there are minor issues that should be addressed in future versions.",2024/4/26,3.9
13,20,"The product works fine, but there are minor issues that should be addressed in future versions.",2024/3/9,3.1
87,97,"The packaging was great, and it arrived quickly. No complaints!",2024/5/7,4.7
56,54,"The product didn’t meet my expectations, but the return process was smooth and hassle-free.",2024/9/25,2.9
64,26,"The product is well-designed, but the instructions could have been a bit clearer. Overall, very happy with it.",2024/3/23,3.7
